"application_certification_map_id","application_id","certification_name","created_by","created_on","updated_by","updated_on"
1,"281d4c60-9ee6-4190-bd01-19e1872d0535","SUN CERTIFIED JAVA",NULL,"2022-11-11 10:03:35.350438+05:30",NULL,"2022-11-11 10:03:35.350438+05:30"
6,"fb7a30ba-dbe0-42b4-b9cf-6ea99958f0df","OCAJP",NULL,"2022-11-14 10:29:26.058817+05:30",NULL,"2022-11-14 10:29:26.058817+05:30"
7,"7b23c803-8c26-4c75-82c4-98e68a06f256","SUN CERTIFIED",NULL,"2022-11-14 11:21:17.87977+05:30",NULL,"2022-11-14 11:21:17.87977+05:30"
17,"72e44924-e66a-4e54-ad37-037f82143938","EXPERIENCE AS A SUN CERTIFIED JAVA DEVELOPER",NULL,"2022-11-14 11:50:04.442734+05:30",NULL,"2022-11-14 11:50:04.442734+05:30"
18,"72e44924-e66a-4e54-ad37-037f82143938","SUN CERTIFIED JAVA DEVELOPER",NULL,"2022-11-14 11:50:04.451805+05:30",NULL,"2022-11-14 11:50:04.451805+05:30"
19,"72e44924-e66a-4e54-ad37-037f82143938","CERTIFIED JAVA DEVELOPER",NULL,"2022-11-14 11:50:04.457058+05:30",NULL,"2022-11-14 11:50:04.457058+05:30"
20,"72e44924-e66a-4e54-ad37-037f82143938","SUN CERTIFIED JAVA",NULL,"2022-11-14 11:50:04.462635+05:30",NULL,"2022-11-14 11:50:04.462635+05:30"
21,"72e44924-e66a-4e54-ad37-037f82143938","CERTIFIED JAVA",NULL,"2022-11-14 11:50:04.467418+05:30",NULL,"2022-11-14 11:50:04.467418+05:30"
22,"72e44924-e66a-4e54-ad37-037f82143938","SUN CERTIFIED",NULL,"2022-11-14 11:50:04.471154+05:30",NULL,"2022-11-14 11:50:04.471154+05:30"
23,"b672e2b3-3d4e-4b9a-812a-616d43b40200","EXPERIENCE AS A SUN CERTIFIED JAVA DEVELOPER",NULL,"2022-11-14 11:56:01.892534+05:30",NULL,"2022-11-14 11:56:01.892534+05:30"
24,"b672e2b3-3d4e-4b9a-812a-616d43b40200","SUN CERTIFIED JAVA DEVELOPER",NULL,"2022-11-14 11:56:01.901741+05:30",NULL,"2022-11-14 11:56:01.901741+05:30"
25,"b672e2b3-3d4e-4b9a-812a-616d43b40200","CERTIFIED JAVA DEVELOPER",NULL,"2022-11-14 11:56:01.907431+05:30",NULL,"2022-11-14 11:56:01.907431+05:30"
26,"b672e2b3-3d4e-4b9a-812a-616d43b40200","SUN CERTIFIED JAVA",NULL,"2022-11-14 11:56:01.913052+05:30",NULL,"2022-11-14 11:56:01.913052+05:30"
